GradePoints,,Weights,Major,Name,,GP/W,GP4.0/W,Notes,,,,,
6,3,6,1,Astronomy,,36,18,,,,,,
8,3.8,6,2,into psyc,,48,22.8,,,,,,
8,3.8,3,2,cognition,,24,11.4,,,,,,
8,3.8,3,2,bio basis,,24,11.4,,,,,,
8,3.8,3,2,pers,,24,11.4,,,,,,
8,3.8,3,2,Research Methods1,,24,11.4,,,,,,
8,3.8,3,2,Stats2,,24,11.4,,,,,,
6,3,3,2,stats1,,18,9,,,,,,
9,4,3,1,acting1,,27,12,,,,,,
8,3.8,3,1,basic music,,24,11.4,,,,,,
8,3.8,3,2,dev psyc,,24,11.4,,,,,,
8,3.8,3,1,acting 2,,24,11.4,,,,,,
8,3.8,3,1,jazzchoir,,24,11.4,,,,,,
8,3.8,6,1,MODR,,48,22.8,,,,,,
7,3.3,9,1,Renaissance,,63,29.7,,,,,,
9,4,3,2,writing in psyc,,27,12,,,,,,
9,4,3,2,animal behaviour,,27,12,Last 60 Credits,,,,,
8,3.8,3,2,Memory,,24,11.4,,,,,,
9,4,3,2,Neural,,27,12,,,,,,
8,3.8,3,2,Abnormal,,24,11.4,,,,,,
8,3.8,3,2,History of Psyc,,24,11.4,,,,,,
8,3.8,3,2,Intermediate Stats,,24,11.4,,,,,,
9,4,3,2,Intermediate Research,,27,12,,,Cumulative GPA,,,
9,4,3,2,Prof & Comm,,27,12,,Sum 4.0,Sum GPA,Weights,Result 9.0,Result 4.0
9,4,3,2,Sensation 1,,27,12,,464.1,999,123,8.12195122,3.773170732
8,3.8,6,1,Human Dev,,48,22.8,Last 30 Credits,,Last 60 Credit GPA,,,
9,4,3,1,Microbio,,27,12,,Sum 4.0,Sum GPA,Weights,Result 9.0,Result 4.0
9,4,3,2,fMRI ,,27,12,,235.2,516,60,8.6,3.92
9,4,3,1,Anatomy 1,,27,12,,,Last 30 Credit GPA ,,,
9,4,3,1,Anatomy 2,,27,12,,Sum 4.0,Sum GPA,Weights,Result 9.0,Result 4.0
9,4,6,2,Thesis,,54,24,,129.6,285,33,8.636363636,3.927272727
8,3.8,6,2,Ab Neuro,,48,22.8,,,,,,
9,4,3,1,Seminar Sensation,,27,12,,,,,,
